Section and Subsection Names,annotator_1,annotator_2,Section/Subsection,
Objective,Assessment & Plan,Objective Section,Section,
Past Surgical History,Assessment & Plan,Surgical History,Subsection,
Current Medications,Assessment & Plan,Medications Section,Section,
Problems,Assessment & Plan,Problem Section,Section,
Diagnosis,Assessment & Plan,Assessment Section,Section,
Findings,Assessment & Plan,Findings section,Section,
PLAN,Assessment & Plan,Plan of Treatment Section,Section,
Treatment,Assessment & Plan,Plan of Treatment Section,Section,
Musculoskeletal,Assessment & Plan,Musculoskeletal,Subsection,
Screening,Assessment & Plan,UNKNOWN,UNKNOWN,
OBJECTIVE,Assessment & Plan,Objective Section,Section,
Patient's Pharmacies,Assessment & Plan,Medications Section,Section,
SUBJECTIVE,Assessment & Plan,Subjective Section,Section,
Tobacco Use,Assessment & Plan,Tobacco Use,Subsection,
Vaccines,Assessment & Plan,Immunizations Section,Section,
Technique,Assessment & Plan,UNKNOWN,UNKNOWN,
Medical History,Assessment & Plan,Past Medical History,Section,
Skin,Assessment & Plan,Skin,Subsection,
Assessment and Plan,Assessment & Plan,Assessment and Plan Section,Section,
Cardiovascular,Assessment & Plan,Cardiovascular,Subsection,
Follow Up,Assessment & Plan,Plan of Treatment Section,UNKNOWN,
Hospitalization/Major Diagnostic Procedure,Assessment & Plan,Hospitalization/Major Diagnostic Procedure,Subsection,
IMPRESSION,Assessment & Plan,Assessment Section,Section,
Instructions,Assessment & Plan,Instructions Section,Section,
PACS Images,Assessment & Plan,UNKNOWN,UNKNOWN,
Patient's Care Team,Assessment & Plan,Care Team Section,Section,
ROM,Assessment & Plan,ROM,Subsection,
Socioeconomic History,Assessment & Plan,Social History Section,Section,
Assessment / Plan,Assessment & Plan,Assessment and Plan Section,Section,
Notes,Assessment & Plan,Notes Section,Section,
PMH,Assessment & Plan,Past Medical History,Section,
Problem List,Assessment & Plan,Problem Section,Section,
Social History Narrative,Assessment & Plan,Social History Section,Section,
Study Result,Assessment & Plan,UNKNOWN,UNKNOWN,
Substance and Sexual Activity,Assessment & Plan,Substance and Sexual Activity,Subsection,
TECHNIQUE,Assessment & Plan,UNKNOWN,UNKNOWN,
Vaping Use,Assessment & Plan,Vaping Use,Subsection,
Associated Diagnoses,Assessment & Plan,Associated Diagnoses,Subsection,
Current Outpatient Medications,Assessment & Plan,Medications Section,Section,
Encounter,Assessment & Plan,Encounters Section,Section,
Encounters and Procedures,Assessment & Plan,Encounters Section,Section,
FINDINGS,Assessment & Plan,Findings section,Section,
GYN History,Assessment & Plan,GYN History,Subsection,
Health Maintenance,Assessment & Plan,Health Concerns Section,Section,
Muscle Dysfunction,Assessment & Plan,Muscle Dysfunction,Subsection,
Other Notes,Assessment & Plan,Notes Section,Section,
Procedure Codes,Assessment & Plan,Procedure Codes,Section,
Procedures,Assessment & Plan,Procedures Section,Section,
PSH,Assessment & Plan,UNKNOWN,UNKNOWN,
Respiratory,Assessment & Plan,Respiratory,Subsection,
Reviewed Medications,Assessment & Plan,Medications Section,Section,
Social Determinants of Health,Assessment & Plan,UNKNOWN,UNKNOWN,
Substance Use,Assessment & Plan,Substance Use,Subsection,
Back,Assessment & Plan,UNKNOWN,UNKNOWN,
Caffeine Use,Assessment & Plan,Caffeine Use,Subsection,
Chief Complaints,Assessment & Plan,Chief Complaint Section,Section,
External Result Report,Assessment & Plan,UNKNOWN,UNKNOWN,
External Results Report,Assessment & Plan,UNKNOWN,UNKNOWN,
Extremities,Assessment & Plan,Extremities,Subsection,
Financial Resource Strain,Assessment & Plan,UNKNOWN,UNKNOWN,
Gastrointestinal,Assessment & Plan,Gastrointestinal,Subsection,
Genitourinary,Assessment & Plan,Genitourinary,Subsection,
IR Documentation Timeline,Assessment & Plan,UNKNOWN,UNKNOWN,
Linked Episodes,Assessment & Plan,UNKNOWN,UNKNOWN,
Media,Assessment & Plan,UNKNOWN,UNKNOWN,
Motor,Assessment & Plan,Motor,Subsection,
Neck,Assessment & Plan,Neck,Subsection,
Physical Activity,Assessment & Plan,Physical Activity,Subsection,
Plans of Care,Assessment & Plan,Plan of Treatment Section,Section,
Pulmonary,Assessment & Plan,UNKNOWN,Subsection of Assessment,
Segmental Dysfunction,Assessment & Plan,Segmental Dysfunction,Subsection,
Sensation,Assessment & Plan,Sensation,Subsection,
Smoking Status,Assessment & Plan,Smoking Status,Subsection,
Social Connections,Assessment & Plan,Social Connections,Subsection,
Stress,Assessment & Plan,UNKNOWN,UNKNOWN,
Treatment Plan,Assessment & Plan,Plan of Treatment Section,Section,
Visit Overview,Assessment & Plan,UNKNOWN,UNKNOWN,
Assessment & Plan,Assessment & Plan,Assessment and Plan Section,Section,
By,Assessment & Plan,UNKNOWN,UNKNOWN,
Chief Compliant,Assessment & Plan,Chief Complaint Section,Section,
Chiro Back Pain,Assessment & Plan,UNKNOWN,UNKNOWN,
Chiro Chief Complaint,Assessment & Plan,Chief Complaint Section,Section,
Diagnoses,Assessment & Plan,Assessment Section,Section,
Diagnostic Studies,Assessment & Plan,Diagnostic Studies,Subsection,
DME,Assessment & Plan,Medical Equipment Section,Section,
Ears,Assessment & Plan,Ears,Subsection,
Food Insecurity,Assessment & Plan,Food Insecurity,Subsection,
Housing Stability,Assessment & Plan,Housing Stability,Subsection,
Interval History,Assessment & Plan,UNKNOWN,UNKNOWN,
Interventions,Assessment & Plan,Interventions Section,Section,
Intimate Partner Violence,Assessment & Plan,Intimate Partner Violence,Subsection,
Last viewed in MyChart,Assessment & Plan,UNKNOWN,UNKNOWN,
LIFESTYLE ASSESSMENT,Assessment & Plan,LIFESTYLE ASSESSMENT,Subsection,
Lungs,Assessment & Plan,Lungs,Subsection,
Measurements,Assessment & Plan,UNKNOWN,UNKNOWN,
Medical Records - CONFIDENTIAL,Assessment & Plan,UNKNOWN,UNKNOWN,
MRI Lumbar Spine Without Contrast,Assessment & Plan,MRI Lumbar Spine Without Contrast,Subsection,
Narrative & Impression,Assessment & Plan,Assessment Section,Section,
"Past Medical, Surgical, Family History",Assessment & Plan,Past Medical History / Family History ,Section,
Past Orders,Assessment & Plan,UNKNOWN,UNKNOWN,
Patient,Assessment & Plan,UNKNOWN,UNKNOWN,
Patient Communication,Assessment & Plan,UNKNOWN,UNKNOWN,
Patient Release Status,Assessment & Plan,UNKNOWN,UNKNOWN,
Peripheral Vascular,Assessment & Plan,Peripheral Vascular,Subsection,
Problem List/Past Medical History,Assessment & Plan,Past Medical History,Section,
Procedure/Surgical History,Assessment & Plan,Past Medical History,Section,
Prognosis,Assessment & Plan,Prognosis,Section,
Protocol Summary,Assessment & Plan,UNKNOWN,UNKNOWN,
PT,Assessment & Plan,PT,Subsection,
Radiology,Assessment & Plan,UNKNOWN,UNKNOWN,
Relevant Pain History,Assessment & Plan,Relevant Pain History,Subsection,
Specialty Information,Assessment & Plan,UNKNOWN,UNKNOWN,
Status,Assessment & Plan,UNKNOWN,UNKNOWN,
Street Drug Use,Assessment & Plan,Street Drug Use,Subsection,
Tobacco Screening,Assessment & Plan,Tobacco Screening,Subsection,
Transportation Needs,Assessment & Plan,Transportation Needs,Subsection,
Treatment Detail,Assessment & Plan,Plan of Treatment Section,Section,
Treatments,Assessment & Plan,Plan of Treatment Section,Section,
Vaccine History,Assessment & Plan,Immunizations Section,Section,
Visit codes,Assessment & Plan,Visit codes,Section,
Visit Codes,Assessment & Plan,Visit Codes,Section,
Vital & Measurements,Assessment & Plan,Vital Signs Section,Section,
VITAL SIGNS,Assessment & Plan,Vital Signs Section,Section,
 Past Medical History,Assessment & Plan,Past Medical History,Section,
 Substance and Sexual Activity,Assessment & Plan, Substance and Sexual Activity,Subsection,
A&P Notes,Assessment & Plan,Assessment and Plan Section,Section,
Abnormal CT scan,Assessment & Plan,Abnormal CT scan,Subsection,
Active Ambulatory Problems,Assessment & Plan,Active Ambulatory Problems,Subsection,
Adrenal Glands,Assessment & Plan,Adrenal Glands,Subsection,
Adult health examination,Assessment & Plan,Physical Exam Section,Section,
Advance Directive,Assessment & Plan,Advance Directive,Section,
All Changes for This Encounter,Assessment & Plan,All Changes for This Encounter,Subsection,
ALternative Treatments,Assessment & Plan,ALternative Treatments,Subsection,
Ambulatory Orders,Assessment & Plan,UNKNOWN,UNKNOWN,
"Anemia, unspecified type",Assessment & Plan,"Anemia, unspecified type",Subsection,
Anesthesia,Assessment & Plan,Anesthesia Section,Section,
ANKLE BRACHIAL SYSTOLIC PRESSURE,Assessment & Plan,ANKLE BRACHIAL SYSTOLIC PRESSURE,Subsection,
ANKLE VOLUME PLETHYSMOGRAPHY SPECTRAL ANALYSIS,Assessment & Plan,ANKLE VOLUME PLETHYSMOGRAPHY SPECTRAL ANALYSIS,Subsection,
Aorta - IVC,Assessment & Plan,Aorta - IVC,Subsection,
ARM BLOOD PRESSURE ANALYSIS,Assessment & Plan,ARM BLOOD PRESSURE ANALYSIS,Subsection,
Assesment/Plan,Assessment & Plan,Assessment and Plan Section,Section,
Assessment / Diagnosis,Assessment & Plan,Assessment Section,Section,
Assessment Name: Clinic Review of Systems & Physical Exam,Assessment & Plan,Assessment and Plan Section,Section,
Assessment Plan,Assessment & Plan,Assessment and Plan Section,Section,
Assessment/plan,Assessment & Plan,Assessment and Plan Section,Section,
Assessment/Planhh,Assessment & Plan,Assessment and Plan Section,Section,
Assessments and Plans,Assessment & Plan,Assessment and Plan Section,Section,
Audit Trail,Assessment & Plan,UNKNOWN,UNKNOWN,
AUTONOMIC ASSESSMENT,Assessment & Plan,AUTONOMIC ASSESSMENT,Subsection,
AUTONOMIC NERVOUS SYSTEM RECORD GRAPHICS,Assessment & Plan,AUTONOMIC NERVOUS SYSTEM RECORD GRAPHICS,Subsection,
Back Care,Assessment & Plan,Back Care,Subsection,
Back Comment,Assessment & Plan,UNKNOWN,UNKNOWN,
Bike Helmet,Assessment & Plan,UNKNOWN,UNKNOWN,
BMI,Assessment & Plan,BMI,Subsection,
Body mass index 30+ -obesity,Assessment & Plan,Body mass index 30+ -obesity,Subsection,
BSA,Assessment & Plan,BSA,Subsection,
CAD,Assessment & Plan,CAD,Subsection,
Caffeine,Assessment & Plan,Caffeine,Subsection,
Caffeine Concern,Assessment & Plan,Caffeine Concern,Subsection,
CARDIAC AUTONOMIC REFLEX TESTS (CARTs) RECORDS,Assessment & Plan,CARDIAC AUTONOMIC REFLEX TESTS (CARTs) RECORDS,Subsection,
Cardio,Assessment & Plan,Cardio,Subsection,
Cessation Education,Assessment & Plan,Cessation Education,Subsection,
Chart Review Routing History,Assessment & Plan,UNKNOWN,UNKNOWN,
Chart Review: Note Routing Historyh,Assessment & Plan,UNKNOWN,UNKNOWN,
Check-in Reasons for Visit,Assessment & Plan,Reason for Visit Section,Section,
Chief Complaint 1,Assessment & Plan,Chief Complaint Section,Section,
CKD,Assessment & Plan,CKD,Subsection,
CN,Assessment & Plan,CN,Subsection,
Codes,Assessment & Plan,UNKNOWN,UNKNOWN,
Coding,Assessment & Plan,UNKNOWN,UNKNOWN,
Cognition and Speech,Assessment & Plan,Cognition and Speech,Subsection,
CSMD review,Assessment & Plan,CSMD review,Subsection,
Current Encounter Orders,Assessment & Plan,Current Encounter Orders,Subsection,
Current Medication Plug-in,Assessment & Plan,Medications Section,Section,
Current medication regiment,Assessment & Plan,Medications Section,Section,
Current Meds,Assessment & Plan,Medications Section,Section,
Current Outpatient Medications on File Prior to Visit,Assessment & Plan,Medications Section,Section,
Current Pain Medications,Assessment & Plan,Medications Section,Section,
Current Status of Disease,Assessment & Plan,Health Status Evaluations and Outcomes Section,Section,
Custom Profiles/Laboratory Tests,Assessment & Plan,Custom Profiles/Laboratory Tests,Subsection,
Decision Support,Assessment & Plan,UNKNOWN,UNKNOWN,
Depression,Assessment & Plan,Depression,Subsection,
Depression Risk,Assessment & Plan,UNKNOWN,UNKNOWN,
Depression Screening,Assessment & Plan,Depression Screening,Subsection,
Dermatology,Assessment & Plan,UNKNOWN,UNKNOWN,
Detailed Information,Assessment & Plan,UNKNOWN,UNKNOWN,
Details of Procedure,Assessment & Plan,Details of Procedure,Subsection,
Diagnosis Code,Assessment & Plan,Diagnosis Code,Section,
Diagnosis Date,Assessment & Plan,Diagnosis Date,Section,
Diagnostic Imaging,Assessment & Plan,Diagnostic Imaging,Subsection,
Diagnostic Results,Assessment & Plan,Diagnostic Results,Subsection,
Diagnostic Services Ordewred/Completed This Visit,Assessment & Plan,Diagnostic Services Ordewred/Completed This Visit,Subsection,
Dietary,Assessment & Plan,Dietary,Subsection,
Discharge summary,Assessment & Plan,Hospital Discharge Studies Summary Section,UNKNOWN,
DM,Assessment & Plan,UNKNOWN,UNKNOWN,
Drug use,Assessment & Plan,Drug use,Subsection,
Drugs/Alcohol,Assessment & Plan,Drugs/Alcohol,Subsection,
Duration,Assessment & Plan,UNKNOWN,UNKNOWN,
Dyspareunia in female,Assessment & Plan,Dyspareunia in female,Subsection,
Dyspepsia,Assessment & Plan,Dyspepsia,Subsection,
E & M / Diagnostics,Assessment & Plan,Assessment and Plan Section,Section,
Ear / Nose / Throat,Assessment & Plan,Ear / Nose / Throat,Subsection,
Encounter Details,Assessment & Plan,Encounter Details,Subsection,
Encounter Diagnoses,Assessment & Plan,Encounter Diagnoses,Subsection,
Encounter Diagnosis,Assessment & Plan,Encounter Diagnosis,Subsection,
Encounter Information,Assessment & Plan,Encounter Information,Subsection,
ENCOUNTER NOTES,Assessment & Plan,ENCOUNTER NOTES,Subsection,
Encounter Notes,Assessment & Plan,Encounter Notes,Subsection,
Encounter Reason / hDate,Assessment & Plan,Encounter Reason / hDate,Subsection,
Encounter Report,Assessment & Plan,Encounter Report,Subsection,
Encounter Sign-Off,Assessment & Plan,Encounter Sign-Off,Subsection,
Encounter Sign-off,Assessment & Plan,Encounter Sign-off,Subsection,
Encounter Specific Audit Trial,Assessment & Plan,Encounter Specific Audit Trial,Subsection,
Encounter Status,Assessment & Plan,Encounter Status,Subsection,
Encounter-Level Documents,Assessment & Plan,Encounter-Level Documents,Subsection,
Endocrine,Assessment & Plan,Endocrine,Subsection,
Endorine,Assessment & Plan,UNKNOWN,UNKNOWN,
ENDOTHELIAL FUNCTION,Assessment & Plan,ENDOTHELIAL FUNCTION,Subsection,
ENDOTHELIAL FUNCTION AND BLOOD PRESSURE ASSESSMENT,Assessment & Plan,ENDOTHELIAL FUNCTION AND BLOOD PRESSURE ASSESSMENT,Subsection,
ENMT,Assessment & Plan,ENMT,Subsection,
Environmental,Assessment & Plan,UNKNOWN,UNKNOWN,
EpicCare Link Facesheet,Assessment & Plan,UNKNOWN,UNKNOWN,
Episode of Care,Assessment & Plan,Episode of Care,Subsection,
ER Follow Up - Back Pain,Assessment & Plan,ER Follow Up - Back Pain,Subsection,
Essential Hypertension,Assessment & Plan,Essential Hypertension,Subsection,
Established HPI,Assessment & Plan,History of Present Illness Section,Section,
EXTREMITIES,Assessment & Plan,EXTREMITIES,Subsection,
FAT LEVEL,Assessment & Plan,UNKNOWN,UNKNOWN,
Final Report,Assessment & Plan,UNKNOWN,UNKNOWN,
Financial resource strain,Assessment & Plan,Financial resource strain,Subsection,
Focused,Assessment & Plan,UNKNOWN,UNKNOWN,
FOI Social History,Assessment & Plan,UNKNOWN,UNKNOWN,
Follow up,Assessment & Plan,Follow up,Subsection,
Follow Up Visit,Assessment & Plan,Follow Up Visit,Subsection,
Follow-up,Assessment & Plan,Follow-up,Subsection,
Food,Assessment & Plan,Food,Subsection,
Food insecurity,Assessment & Plan,Food insecurity,Subsection,
Frequency,Assessment & Plan,UNKNOWN,UNKNOWN,
Future Order Information,Assessment & Plan,UNKNOWN,UNKNOWN,
Gait,Assessment & Plan,Gait,Subsection,
GI,Assessment & Plan,GI,Subsection,
GI Tract,Assessment & Plan,GI Tract,Subsection,
Goals,Assessment & Plan,Goals Section,Section,
Goals Addressed,Assessment & Plan,Goals Section,Section,
Gynecologic History,Assessment & Plan,Gynecologic History,Subsection,
Hamstrings,Assessment & Plan,Hamstrings,Subsection,
Hard Copy Result Report,Assessment & Plan,UNKNOWN,UNKNOWN,
Head,Assessment & Plan,Head,Subsection,
Height,Assessment & Plan,Height,Subsection,
History,Assessment & Plan,UNKNOWN,UNKNOWN,
HIV/AIDS,Assessment & Plan,HIV/AIDS,Subsection,
HLD,Assessment & Plan,HLD,Subsection,
HM,Assessment & Plan,HM,Subsection,
Hobby Hazards,Assessment & Plan,Hobby Hazards,Subsection,
Home / Environment,Assessment & Plan,Home / Environment,Subsection,
HOME MEDICATIONS,Assessment & Plan,HOME MEDICATIONS,Subsection,
Home Safety,Assessment & Plan,Home Safety,Subsection,
Hospitalization.Major Diagnostic Procedures,Assessment & Plan,Hospital Course Section,Section,
Hospitalization/Major Diagnostic Procedures,Assessment & Plan,Hospital Course Section,Section,
hyperlipidemia,Assessment & Plan,hyperlipidemia,Subsection,
"Hyperlipidemia, unspecified hyperlipidemia type",Assessment & Plan,"Hyperlipidemia, unspecified hyperlipidemia type",Subsection,
hypertension,Assessment & Plan,hypertension,Subsection,
Hypertension,Assessment & Plan,Hypertension,Subsection,
Immunization Entered by History,Assessment & Plan,Immunizations Section,Section,
Immunization History,Assessment & Plan,Immunizations Section,Section,
Immunizations,Assessment & Plan,Immunizations Section,Section,
Impresssion,Assessment & Plan,Assessment Section,Section,
INDICATION,Assessment & Plan,Procedure Indications Section,Section,
Information Order,Assessment & Plan,UNKNOWN,UNKNOWN,
INITIAL EVALUATION,Assessment & Plan,INITIAL EVALUATION,Subsection,
INITIAL EXAMINATION,Assessment & Plan,INITIAL EXAMINATION,Subsection,
Initial Visit review,Assessment & Plan,Initial Visit review,Subsection,
Instruction,Assessment & Plan,Instructions Section,Section,
Integumentary,Assessment & Plan,Integumentary,Subsection,
Interval history,Assessment & Plan,UNKNOWN,UNKNOWN,
Intimate partner violence,Assessment & Plan,Intimate partner violence,Subsection,
ISP Appointment,Assessment & Plan,ISP Appointment,Subsection,
Issue with pain,Assessment & Plan,Issue with pain,Subsection,
Joint Dysfunction,Assessment & Plan,Joint Dysfunction,Subsection,
Kemps,Assessment & Plan,Kemps,Subsection,
Kidneys,Assessment & Plan,Kidneys,Subsection,
LARGE ARTERY STIFFNESS,Assessment & Plan,LARGE ARTERY STIFFNESS,Subsection,
Left hip pain,Assessment & Plan,Left hip pain,Subsection,
Letter and Report Routing,Assessment & Plan,UNKNOWN,UNKNOWN,
Lifestyle,Assessment & Plan,Lifestyle,Subsection,
Linked Documents,Assessment & Plan,UNKNOWN,UNKNOWN,
LinkedEpisodes,Assessment & Plan,UNKNOWN,UNKNOWN,
Liver,Assessment & Plan,Liver,Subsection,
Log Radiation Tracking,Assessment & Plan,UNKNOWN,UNKNOWN,
Long Term Goals,Assessment & Plan,Goals Section,Section,
Low ferritin,Assessment & Plan,Low ferritin,Subsection,
Lower Extremity,Assessment & Plan,Lower Extremity,Subsection,
LOWER EXTREMITY VASCULAR ASSESSMENT,Assessment & Plan,LOWER EXTREMITY VASCULAR ASSESSMENT,Subsection,
Lower Spine/Lower back,Assessment & Plan,Lower Spine/Lower back,Subsection,
Lumbar,Assessment & Plan,Lumbar,Subsection,
Lumbar lateral Flexion,Assessment & Plan,Lumbar lateral Flexion,Subsection,
Lumbar Radiculopathy,Assessment & Plan,Lumbar Radiculopathy,Subsection,
Lumbar radiculopathy,Assessment & Plan,Lumbar radiculopathy,Subsection,
"Lumbar radiculopathy, acute",Assessment & Plan,"Lumbar radiculopathy, acute",Subsection,
Lumbar Rotation,Assessment & Plan,Lumbar Rotation,Subsection,
Lumbar Spine Orthos,Assessment & Plan,Lumbar Spine Orthos,Subsection,
Lumbar Tests,Assessment & Plan,Lumbar Tests,Subsection,
"Lumbar, Extension",Assessment & Plan,"Lumbar, Extension",Subsection,
"Lumbar, Flexion",Assessment & Plan,"Lumbar, Flexion",Subsection,
Lumber,Assessment & Plan,Lumber,Subsection,
Lymph Nodes,Assessment & Plan,Lymph Nodes,Subsection,
Lymphadenopathy,Assessment & Plan,Lymphadenopathy,Subsection,
MAIN MARKERS OVERVIEW,Assessment & Plan,UNKNOWN,UNKNOWN,
Maintenance,Assessment & Plan,UNKNOWN,UNKNOWN,
Mammogram,Assessment & Plan,Mammogram,Subsection,
Marital Status,Assessment & Plan,Marital Status,Subsection,
Marital Status/Family/Social Support,Assessment & Plan,Marital Status/Family/Social Support,Subsection,
Marriage and Sexuality,Assessment & Plan,Marriage and Sexuality,Subsection,
Material Status/Family/Social Support,Assessment & Plan,Material Status/Family/Social Support,Subsection,
MDM,Assessment & Plan,UNKNOWN,UNKNOWN,
Measured by,Assessment & Plan,UNKNOWN,UNKNOWN,
Med / Fam / Social History,Assessment & Plan,Past Medical History / Family History / Social History,Section,
Mediastinum and Hilum,Assessment & Plan,Mediastinum and Hilum,Subsection,
Medical Changes,Assessment & Plan,UNKNOWN,UNKNOWN,
Medical Decision Making / Plan,Assessment & Plan,Assessment and Plan Section,Section,
Medical history,Assessment & Plan,Past Medical History,Section,
Medical List at End of Visit,Assessment & Plan,UNKNOWN,UNKNOWN,
Menorrhagia with regular cycle,Assessment & Plan,Menorrhagia with regular cycle,Subsection,
Mesenteric Vessels,Assessment & Plan,Mesenteric Vessels,Subsection,
Mouth/Oropharynx,Assessment & Plan,Mouth/Oropharynx,Subsection,
Mouth/Throat,Assessment & Plan,Mouth/Throat,Subsection,
MRI Pine Lumbosacral wo Contrast,Assessment & Plan,MRI Pine Lumbosacral wo Contrast,Subsection,
MRI Spine Lumbosacral Wo Contrast,Assessment & Plan,MRI Spine Lumbosacral Wo Contrast,Subsection,
MRN,Assessment & Plan,Personal Info,Section,
MS/Skin/Lymph,Assessment & Plan,MS/Skin/Lymph,Subsection,
MS/Skin/Lymph Comment,Assessment & Plan,MS/Skin/Lymph Comment,Subsection,
Muscle Stimulation,Assessment & Plan,UNKNOWN,UNKNOWN,
Muscle Strength,Assessment & Plan,Muscle Strength,Subsection,
Muscular,Assessment & Plan,Muscular,Subsection,
MUSCULOSKELETAL,Assessment & Plan,MUSCULOSKELETAL,Subsection,
Musculoskeletal Palpation,Assessment & Plan,Musculoskeletal Palpation,Subsection,
My Diagnosis,Assessment & Plan,Assessment Section,Section,
My Stage at Diganosis,Assessment & Plan,UNKNOWN,UNKNOWN,
Narrative,Assessment & Plan,UNKNOWN,UNKNOWN,
"Nicotine dependence, cigarettes, uncomplicated",Assessment & Plan,"Nicotine dependence, cigarettes, uncomplicated",Subsection,
Nonulcer dyspepsia,Assessment & Plan,Nonulcer dyspepsia,Subsection,
Nose,Assessment & Plan,Nose,Subsection,
Nose/Sinuses,Assessment & Plan,Nose/Sinuses,Subsection,
Number of Children,Assessment & Plan,Number of Children,Subsection,
Number of treatments,Assessment & Plan,Number of treatments,Subsection,
Nutrition / Health,Assessment & Plan,Nutrition Section,Section,
OB History,Assessment & Plan,OB History,Subsection,
Obesity,Assessment & Plan,Obesity,Subsection,
Objective Findings,Assessment & Plan,Objective Section,Section,
Obsteric History,Assessment & Plan,Obsteric History,Subsection,
Office Visit,Assessment & Plan,Office Visit,Subsection,
Ongoing,Assessment & Plan,UNKNOWN,UNKNOWN,
Operation,Assessment & Plan,Operation,Subsection,
Operative Findings,Assessment & Plan,Operative Findings,Subsection,
Operative Note - Full,Assessment & Plan,Operative Note - Full,Subsection,
Operative Report,Assessment & Plan,Operative Report,Subsection,
Oropharynx,Assessment & Plan,Oropharynx,Subsection,
Osseous Structures and Soft Tissues,Assessment & Plan,Osseous Structures and Soft Tissues,Subsection,
Other chronic pain,Assessment & Plan,Other chronic pain,Subsection,
Other Findings,Assessment & Plan,Findings Section,Section,
Other Medical History,Assessment & Plan,Other Medical History,Subsection,
Other Topics,Assessment & Plan,UNKNOWN,UNKNOWN,
Other topics,Assessment & Plan,UNKNOWN,UNKNOWN,
PA Prescription Drug Monitoring Screen Shot,Assessment & Plan,PA Prescription Drug Monitoring Screen Shot,Subsection,
Pain,Assessment & Plan,Pain,Subsection,
Pain Clinic Questionnaires,Assessment & Plan,Pain Clinic Questionnaires,Section,
Pain History,Assessment & Plan,Pain History,Subsection,
Pain Intensity,Assessment & Plan,Pain Intensity,Subsection,
Pain location,Assessment & Plan,Pain location,Subsection,
Palliative,Assessment & Plan,Palliative,Subsection,
Palpation,Assessment & Plan,Palpation,Subsection,
Pancreas,Assessment & Plan,Pancreas,Subsection,
Past History,Assessment & Plan,Past History,Subsection,
PAST HISTORY,Assessment & Plan,PAST HISTORY,Subsection,
Past Medical,Assessment & Plan,Past Medical,Subsection,
Past Medical/Surgical History,Assessment & Plan,Past Medical/Surgical History,Subsection,
PAST MEDICAL/SURGICAL HISTORY,Assessment & Plan,PAST MEDICAL/SURGICAL HISTORY,Subsection,
Past Surgical,Assessment & Plan,Past Surgical,Subsection,
Past workup / imaging,Assessment & Plan,Past workup / imaging,Subsection,
Patient Active Problem List,Assessment & Plan,Problem Section,Section,
Patient's Assessments,Assessment & Plan,Assessment Section,Section,
Patient's care Team,Assessment & Plan,Care Team Section,Section,
Patient's Cate Team,Assessment & Plan,Care Team Section,Section,
Pelvis,Assessment & Plan,Abdomen and Pelvis,Subsection,
